,PseudoTime1,PseudoTime2
TS_0_0,0,0
TS_0_1,50,50
TS_0_2,100,100
TS_0_3,150,150
TS_0_4,200,200
TS_0_5,250,250
TS_0_6,300,300
TS_0_7,350,350
TS_0_8,400,400
TS_0_9,450,450
TS_0_10,500,500
TS_0_11,550,550
TS_0_12,600,600
TS_0_13,650,650
TS_0_14,700,700
TS_0_15,750,750
TS_0_16,800,800
TS_0_17,850,850
TS_0_18,900,900
TS_0_19,950,950
TS_0_20,1000,1000
TS_1_0,0,0
TS_1_1,50,50
TS_1_2,100,100
TS_1_3,150,150
TS_1_4,200,200
TS_1_5,250,250
TS_1_6,300,300
TS_1_7,350,350
TS_1_8,400,400
TS_1_9,450,450
TS_1_10,500,500
TS_1_11,550,550
TS_1_12,600,600
TS_1_13,650,650
TS_1_14,700,700
TS_1_15,750,750
TS_1_16,800,800
TS_1_17,850,850
TS_1_18,900,900
TS_1_19,950,950
TS_1_20,1000,1000
TS_2_0,0,0
TS_2_1,50,50
TS_2_2,100,100
TS_2_3,150,150
TS_2_4,200,200
TS_2_5,250,250
TS_2_6,300,300
TS_2_7,350,350
TS_2_8,400,400
TS_2_9,450,450
TS_2_10,500,500
TS_2_11,550,550
TS_2_12,600,600
TS_2_13,650,650
TS_2_14,700,700
TS_2_15,750,750
TS_2_16,800,800
TS_2_17,850,850
TS_2_18,900,900
TS_2_19,950,950
TS_2_20,1000,1000
TS_3_0,0,0
TS_3_1,50,50
TS_3_2,100,100
TS_3_3,150,150
TS_3_4,200,200
TS_3_5,250,250
TS_3_6,300,300
TS_3_7,350,350
TS_3_8,400,400
TS_3_9,450,450
TS_3_10,500,500
TS_3_11,550,550
TS_3_12,600,600
TS_3_13,650,650
TS_3_14,700,700
TS_3_15,750,750
TS_3_16,800,800
TS_3_17,850,850
TS_3_18,900,900
TS_3_19,950,950
TS_3_20,1000,1000
TS_4_0,0,0
TS_4_1,50,50
TS_4_2,100,100
TS_4_3,150,150
TS_4_4,200,200
TS_4_5,250,250
TS_4_6,300,300
TS_4_7,350,350
TS_4_8,400,400
TS_4_9,450,450
TS_4_10,500,500
TS_4_11,550,550
TS_4_12,600,600
TS_4_13,650,650
TS_4_14,700,700
TS_4_15,750,750
TS_4_16,800,800
TS_4_17,850,850
TS_4_18,900,900
TS_4_19,950,950
TS_4_20,1000,1000
TS_5_0,0,0
TS_5_1,50,50
TS_5_2,100,100
TS_5_3,150,150
TS_5_4,200,200
TS_5_5,250,250
TS_5_6,300,300
TS_5_7,350,350
TS_5_8,400,400
TS_5_9,450,450
TS_5_10,500,500
TS_5_11,550,550
TS_5_12,600,600
TS_5_13,650,650
TS_5_14,700,700
TS_5_15,750,750
TS_5_16,800,800
TS_5_17,850,850
TS_5_18,900,900
TS_5_19,950,950
TS_5_20,1000,1000
TS_6_0,0,0
TS_6_1,50,50
TS_6_2,100,100
TS_6_3,150,150
TS_6_4,200,200
TS_6_5,250,250
TS_6_6,300,300
TS_6_7,350,350
TS_6_8,400,400
TS_6_9,450,450
TS_6_10,500,500
TS_6_11,550,550
TS_6_12,600,600
TS_6_13,650,650
TS_6_14,700,700
TS_6_15,750,750
TS_6_16,800,800
TS_6_17,850,850
TS_6_18,900,900
TS_6_19,950,950
TS_6_20,1000,1000
TS_7_0,0,0
TS_7_1,50,50
TS_7_2,100,100
TS_7_3,150,150
TS_7_4,200,200
TS_7_5,250,250
TS_7_6,300,300
TS_7_7,350,350
TS_7_8,400,400
TS_7_9,450,450
TS_7_10,500,500
TS_7_11,550,550
TS_7_12,600,600
TS_7_13,650,650
TS_7_14,700,700
TS_7_15,750,750
TS_7_16,800,800
TS_7_17,850,850
TS_7_18,900,900
TS_7_19,950,950
TS_7_20,1000,1000
TS_8_0,0,0
TS_8_1,50,50
TS_8_2,100,100
TS_8_3,150,150
TS_8_4,200,200
TS_8_5,250,250
TS_8_6,300,300
TS_8_7,350,350
TS_8_8,400,400
TS_8_9,450,450
TS_8_10,500,500
TS_8_11,550,550
TS_8_12,600,600
TS_8_13,650,650
TS_8_14,700,700
TS_8_15,750,750
TS_8_16,800,800
TS_8_17,850,850
TS_8_18,900,900
TS_8_19,950,950
TS_8_20,1000,1000
TS_9_0,0,0
TS_9_1,50,50
TS_9_2,100,100
TS_9_3,150,150
TS_9_4,200,200
TS_9_5,250,250
TS_9_6,300,300
TS_9_7,350,350
TS_9_8,400,400
TS_9_9,450,450
TS_9_10,500,500
TS_9_11,550,550
TS_9_12,600,600
TS_9_13,650,650
TS_9_14,700,700
TS_9_15,750,750
TS_9_16,800,800
TS_9_17,850,850
TS_9_18,900,900
TS_9_19,950,950
TS_9_20,1000,1000
