Gene1,Gene2,Type
chbR,chbB,+
chbR,chbC,+
chbR,chbG,+
chbR,chbF,-
chbR,chbA,-
crp,yhcH,+
crp,nanK,+
crp,nanE,+
crp,nanM,+
crp,nanC,+
crp,cyaR,+
crp,nanT,+
crp,ynfK,+
crp,dgsA,+
crp,aceA,-
crp,aceB,-
crp,aceK,-
crp,chbB,+
crp,chbC,+
crp,chbA,+
crp,chbR,+
crp,chbF,+
crp,crr,+
crp,cysG,-
crp,mpl,+
crp,hupB,+
crp,ilvB,+
crp,ilvN,+
crp,lamB,+
crp,malE,+
crp,malF,+
crp,malG,+
crp,malK,+
crp,malM,+
crp,malT,+
crp,manX,+
crp,manY,+
crp,manZ,+
crp,mglA,+
crp,mglB,+
crp,mglC,+
crp,mtlA,+
crp,mtlD,+
crp,nagA,-
crp,nagB,-
crp,nagD,+
crp,nagE,-
crp,nagC,+
crp,nanA,+
crp,nirB,-
crp,nirC,-
crp,nirD,-
crp,pgk,+
crp,ptsG,+
crp,ptsH,-
crp,ptsI,+
crp,galM,+
crp,mtlR,+
crp,galP,+
crp,chbG,+
crp,acnB,+
crp,glpE,+
crp,hupA,+
crp,malS,+
crp,acnA,+
crp,glgS,+
crp,fbaA,+
crp,galE,-
crp,galK,+
crp,galS,+
crp,galT,-
crp,gapA,+
crp,epd,+
crp,glgC,+
crp,glgP,+
dgsA,ptsI,-
dgsA,ynfK,-
dgsA,crr,-
dgsA,malT,-
dgsA,manX,-
dgsA,manY,-
dgsA,ptsG,-
dgsA,ptsH,-
dgsA,manZ,-
fruR,aceA,+
fruR,fruB,-
fruR,aceK,+
fruR,aroP,+
fruR,crr,+
fruR,cysG,-
fruR,edd,-
fruR,eno,-
fruR,fbaA,-
fruR,fruA,-
fruR,fruK,-
fruR,gapA,-
fruR,epd,-
fruR,icd,+
fruR,manX,-
fruR,manY,-
fruR,manZ,-
fruR,mtlA,-
fruR,mtlD,-
fruR,nirB,-
fruR,nirC,-
fruR,nirD,-
fruR,pck,+
fruR,pfkA,-
fruR,pgk,-
fruR,ppsA,+
fruR,ptsH,+
fruR,ptsI,-
fruR,pykF,-
fruR,yahA,-
fruR,acnA,+
fruR,mtlR,-
fruR,acnB,-
fruR,glk,-
fruR,aceB,+
galR,galP,-
galR,galM,-
galR,mglC,-
galR,mglB,-
galR,galE,-
galR,galT,-
galR,galS,-
galR,galK,-
galR,mglA,-
galS,galP,-
galS,galM,+
galS,mglC,-
galS,mglB,-
galS,mglA,-
galS,galT,+
galS,galR,-
galS,galE,-
galS,galK,+
hupA,mtr,-
hupB,seqA,-
hupB,pgm,-
hupB,galM,-
hupB,tyrP,-
hupB,mtr,-
hupB,galT,-
hupB,galK,-
hupB,galE,-
hupA,seqA,-
hupA,galE,-
hupA,galK,-
hupA,galT,-
hupA,tyrP,-
hupA,galM,-
hupA,pgm,-
iclR,aceK,-
iclR,aceB,-
iclR,aceA,-
malT,lamB,+
malT,malP,+
malT,malM,+
malT,malK,+
malT,malG,+
malT,malF,+
malT,malE,+
malT,malQ,+
malT,malZ,+
malT,malS,+
mtlR,mtlA,-
mtlR,mtlD,-
nagC,chbB,-
nagC,nanC,-
nagC,chbA,-
nagC,chbR,-
nagC,chbF,-
nagC,fimB,+
nagC,glmS,-
nagC,manX,-
nagC,manY,-
nagC,manZ,-
nagC,nagA,-
nagC,nagB,-
nagC,nagD,-
nagC,nagE,-
nagC,glmU,-
nagC,galP,-
nagC,chbG,-
nagC,nanM,-
nagC,chbC,-
nanR,nanK,-
nanR,nanE,-
nanR,nanM,-
nanR,yhcH,-
nanR,fimB,+
nanR,nanA,-
nanR,nanT,-
nanR,nanC,-
tyrR,mtr,+
tyrR,tyrP,-
tyrR,aroF,-
tyrR,aroP,-
